x,y,z
1.5,1.5,1.272
1.5,1.5,1.274
1.5,1.5,1.276
1.5,1.5,1.278
1.5,1.5,1.28
1.5,1.5,1.282
1.5,1.5,1.284
1.5,1.5,1.286
1.5,1.5,1.288
1.5,1.5,1.29
1.5,1.5,1.292
1.5,1.5,1.294
1.5,1.5,1.296
1.5,1.5,1.298
1.5,1.5,1.3
1.5,1.5,1.302
1.5,1.5,1.304
1.5,1.5,1.306
1.5,1.5,1.308
1.5,1.5,1.31
1.5,1.5,1.312
1.5,1.5,1.314
1.5,1.5,1.316
1.5,1.5,1.318
1.5,1.5,1.32
1.5,1.5,1.322
1.5,1.5,1.324
1.5,1.5,1.326
1.5,1.5,1.328
1.5,1.5,1.33
1.5,1.5,1.332
1.5,1.5,1.334
1.5,1.5,1.336
1.5,1.5,1.338
1.5,1.5,1.34
1.5,1.5,1.342
1.5,1.5,1.344
1.5,1.5,1.346
1.5,1.5,1.348
1.5,1.5,1.35
1.5,1.5,1.352
1.5,1.5,1.354
1.5,1.5,1.356
1.5,1.5,1.358
1.5,1.5,1.36
1.5,1.5,1.362
1.5,1.5,1.364
1.5,1.5,1.366
1.5,1.5,1.368
1.5,1.5,1.37
1.5,1.5,1.372
1.5,1.5,1.374
1.5,1.5,1.376
1.5,1.5,1.378
1.5,1.5,1.38
1.5,1.5,1.382
1.5,1.5,1.384
1.5,1.5,1.386
1.5,1.5,1.388
1.5,1.5,1.39
1.5,1.5,1.392
1.5,1.5,1.394
1.5,1.5,1.396
1.5,1.5,1.398
1.5,1.5,1.4
1.5,1.5,1.402
1.5,1.5,1.404
1.5,1.5,1.406
1.5,1.5,1.408
1.5,1.5,1.41
1.5,1.5,1.412
1.5,1.5,1.414
1.5,1.5,1.416
1.5,1.5,1.418
1.5,1.5,1.42
1.5,1.5,1.422
1.5,1.5,1.424
1.5,1.5,1.426
1.5,1.5,1.428
1.5,1.5,1.43
1.5,1.5,1.432
1.5,1.5,1.434
1.5,1.5,1.436
1.5,1.5,1.438
1.5,1.5,1.44
1.5,1.5,1.442
1.5,1.5,1.444
1.5,1.5,1.446
1.5,1.5,1.448
1.5,1.5,1.45
1.5,1.5,1.452
1.5,1.5,1.454
1.5,1.5,1.456
1.5,1.5,1.458
1.5,1.5,1.46
1.5,1.5,1.462
1.5,1.5,1.464
1.5,1.5,1.466
1.5,1.5,1.468
1.5,1.5,1.47
1.5,1.5,1.472
1.5,1.5,1.474
1.5,1.5,1.476
1.5,1.5,1.478
1.5,1.5,1.48
1.5,1.5,1.482
1.5,1.5,1.484
1.5,1.5,1.486
1.5,1.5,1.488
1.5,1.5,1.49
1.5,1.5,1.492
1.5,1.5,1.494
1.5,1.5,1.496
1.5,1.5,1.498
1.5,1.5,1.5
1.5007,1.5,1.5019
1.5014,1.5,1.5038
1.5021,1.5,1.5056
1.5027,1.5,1.5075
1.5034,1.5,1.5094
1.5041,1.5,1.5113
1.5048,1.5,1.5132
1.5055,1.5,1.515
1.5062,1.5,1.5169
1.5068,1.5,1.5188
1.5075,1.5,1.5207
1.5082,1.5,1.5226
1.5089,1.5,1.5244
1.5096,1.5,1.5263
1.5103,1.5,1.5282
1.5109,1.5,1.5301
1.5116,1.5,1.5319
1.5123,1.5,1.5338
1.513,1.5,1.5357
1.5137,1.5,1.5376
1.5144,1.5,1.5395
1.515,1.5,1.5413
1.5157,1.5,1.5432
1.5164,1.5,1.5451
1.5171,1.5,1.547
1.5178,1.5,1.5489
1.5185,1.5,1.5507
1.5192,1.5,1.5526
1.5198,1.5,1.5545
1.5205,1.5,1.5564
1.5212,1.5,1.5583
1.5219,1.5,1.5601
1.5226,1.5,1.562
1.5233,1.5,1.5639
1.5239,1.5,1.5658
1.5246,1.5,1.5677
1.5253,1.5,1.5695
1.526,1.5,1.5714
1.5267,1.5,1.5733
1.5274,1.5,1.5752
1.528,1.5,1.5771
1.5287,1.5,1.5789
1.5294,1.5,1.5808
1.5301,1.5,1.5827
1.5308,1.5,1.5846
1.5315,1.5,1.5865
1.5321,1.5,1.5883
1.5328,1.5,1.5902
1.5335,1.5,1.5921
1.5342,1.5,1.594
1.5349,1.5,1.5958
1.5356,1.5,1.5977
1.5363,1.5,1.5996
1.5369,1.5,1.6015
1.5376,1.5,1.6034
1.5383,1.5,1.6052
1.539,1.5,1.6071
1.5397,1.5,1.609
1.5404,1.5,1.6109
1.541,1.5,1.6128
1.5417,1.5,1.6146
1.5424,1.5,1.6165
1.5431,1.5,1.6184
1.5438,1.5,1.6203
1.5445,1.5,1.6222
1.5451,1.5,1.624
1.5458,1.5,1.6259
1.5465,1.5,1.6278
1.5472,1.5,1.6297
1.5479,1.5,1.6316
1.5486,1.5,1.6334
1.5493,1.5,1.6353
1.5499,1.5,1.6372
1.5506,1.5,1.6391
1.5513,1.5,1.641
1.552,1.5,1.6428
1.5527,1.5,1.6447
1.5534,1.5,1.6466
1.554,1.5,1.6485
1.5547,1.5,1.6504
1.5554,1.5,1.6522
1.5561,1.5,1.6541
1.5568,1.5,1.656
1.5575,1.5,1.6579
1.5581,1.5,1.6597
1.5588,1.5,1.6616
1.5595,1.5,1.6635
1.5602,1.5,1.6654
1.5609,1.5,1.6673
1.5616,1.5,1.6691
1.5622,1.5,1.671
1.5629,1.5,1.6729
1.5636,1.5,1.6748
1.5643,1.5,1.6767
1.565,1.5,1.6785
1.5657,1.5,1.6804
1.5664,1.5,1.6823
1.567,1.5,1.6842
1.5677,1.5,1.6861
1.5684,1.5,1.6879
1.5691,1.5,1.6898
1.5698,1.5,1.6917
1.5705,1.5,1.6936
1.5711,1.5,1.6955
1.5718,1.5,1.6973
1.5725,1.5,1.6992
1.5732,1.5,1.7011
1.5739,1.5,1.703
1.5746,1.5,1.7049
1.5752,1.5,1.7067
1.5759,1.5,1.7086
1.5766,1.5,1.7105
1.5773,1.5,1.7124
1.578,1.5,1.7142
1.5787,1.5,1.7161
1.5793,1.5,1.718
1.58,1.5,1.7199
1.5807,1.5,1.7218
1.5814,1.5,1.7236
1.5821,1.5,1.7255
1.5828,1.5,1.7274
